dtime,USD,GBP,EUR,CAD,CHF,SEK,DKK,NOK,AUD,NZD,ZAR,BHD
2002/4/1,133.15,189.79,116.12,83.48,79.28,12.87,15.63,15.08,71.14,58.8,11.76,353.65
2002/4/2,133.2,191.78,117.18,83.38,80.15,13,15.77,15.24,71.02,58.86,11.78,353.78
2002/4/3,133.2,191.26,116.96,83.65,80.02,12.95,15.75,15.23,71.14,58.81,11.89,353.78
2002/4/4,133.1,191.13,117.15,83.72,80.18,12.93,15.77,15.33,70.81,58.52,12.02,353.52
2002/4/5,132.3,189.74,116.32,82.96,79.47,12.87,15.65,15.22,70.33,58.36,11.83,351.39
2002/4/8,131.55,188.54,115.69,82.8,79,12.82,15.57,15.13,69.76,57.43,11.92,349.4
2002/4/9,131.55,188.31,115.05,82.45,78.46,12.69,15.48,15.08,69.5,57.21,11.79,349.4
2002/4/10,130.7,187.84,115.16,81.93,78.47,12.63,15.49,15.06,69.41,57.04,11.68,347.14
2002/4/11,131.1,188.36,115.41,82.33,78.62,12.69,15.53,15.12,69.68,57.64,11.72,348.21
2002/4/12,131.55,189.06,115.99,82.83,79.2,12.76,15.61,15.25,70.47,58.42,11.78,349.4
2002/4/15,132.2,189.84,116.38,83.27,79.38,12.83,15.65,15.28,70.5,58.19,11.85,351.13
2002/4/16,131.85,189.49,116.01,83.15,79.05,12.74,15.61,15.24,70.1,57.9,11.83,350.2
2002/4/17,130.95,188.55,115.59,82.81,78.74,12.63,15.56,15.16,69.94,57.83,11.67,347.81
2002/4/18,130.6,188.97,116.31,82.93,79.19,12.73,15.65,15.23,70.33,58.26,11.76,346.79
2002/4/19,130.1,188.59,115.93,82.65,78.98,12.62,15.61,15.21,70.42,58.35,11.74,345.55
2002/4/22,130.3,188.62,115.99,82.83,79.13,12.66,15.61,15.26,70.4,58.22,11.76,346.08
2002/4/23,129.9,188.43,115.4,82.65,78.6,12.55,15.54,15.18,70.38,58.29,11.87,345.02
2002/4/24,130.25,188.58,115.68,82.79,78.87,12.6,15.57,15.23,70.02,58.04,11.89,345.95
2002/4/25,129.45,187.73,115.57,82.6,78.83,12.56,15.55,15.17,70.36,58.15,11.9,343.82
2002/4/26,128.75,187.43,115.62,82.25,79.04,12.54,15.57,15.25,70.08,57.96,11.83,341.87
2002/4/30,128.35,187.08,115.93,81.98,79.15,12.56,15.6,15.31,69.28,57.45,12.18,340.9
2002/5/1,128.6,187.49,115.7,82.05,79.43,12.54,15.58,15.3,69.21,57.52,12.09,341.57
2002/5/2,127.45,187.08,115.62,81.75,79.58,12.5,15.56,15.28,68.78,57.26,12.1,338.51
2002/5/7,127,186.55,116.6,81.03,80.27,12.55,15.7,15.39,68.64,56.95,12.22,337.32
2002/5/8,128.2,187.71,117,81.83,80.44,12.51,15.75,15.38,69.33,57.74,12.66,340.5
2002/5/9,128.9,187.77,116.62,82.07,80.1,12.56,15.69,15.42,69.84,58.12,12.61,342.36
2002/5/10,128.65,187.92,117.08,82.15,80.55,12.57,15.75,15.49,69.9,58.14,12.48,341.7
2002/5/13,127.3,186.39,116.36,81.78,80,12.46,15.66,15.39,69.3,57.68,12.51,338.11
2002/5/14,127.9,186.36,116.45,82.3,80.05,12.47,15.67,15.47,69.85,58.28,12.71,339.71
2002/5/15,128.45,186.21,115.85,82.41,79.55,12.55,15.59,15.38,70.4,58.89,12.68,341.17
2002/5/16,127.8,186.49,116.41,82.14,79.98,12.61,15.67,15.46,70.11,58.65,12.57,339.71
2002/5/17,127.75,186.2,116.55,82.11,80.07,12.64,15.68,15.46,69.97,58.84,12.54,339.58
2002/5/20,125.9,183.7,115.94,81.49,79.72,12.58,15.59,15.37,69.42,58.37,12.6,334.57
2002/5/21,125.9,183.6,115.64,81.64,79.65,12.59,15.56,15.38,69.82,58.73,12.59,334.66
2002/5/22,123.9,180.76,113.79,80.59,78.46,12.41,15.31,15.13,68.96,58.01,12.32,329.35
2002/5/23,124.4,181.62,115.13,81.11,79.27,12.62,15.49,15.41,69.44,58.77,12.34,330.68
2002/5/24,125,181.68,115.19,81.32,79.11,12.64,15.49,15.46,69.29,58.6,12.41,332.27
2002/5/27,124.85,181.96,115.01,81.38,78.97,12.61,15.46,15.47,69.45,58.77,12.54,331.87
2002/5/28,124.85,181.81,114.91,81.3,78.87,12.58,15.47,15.49,69.69,59.2,12.6,331.87
2002/5/29,124.7,181.91,115.8,81.38,79.22,12.63,15.58,15.69,69.98,59.48,12.63,331.47
2002/5/30,124.25,181.72,116.32,80.94,79.29,12.71,15.66,15.73,70.11,59.18,12.8,330.28
2002/5/31,123.45,180.89,115.61,80.38,79.02,12.66,15.58,15.57,69.72,58.73,12.8,328.15
2002/6/3,124.45,181.14,115.89,80.97,79.17,12.76,15.6,15.54,70.49,59.82,12.69,330.81
2002/6/4,123.65,180.8,116.22,80.93,79.16,12.77,15.65,15.64,70.96,60.64,12.62,328.68
2002/6/5,124.1,180.95,116.77,81.02,79.45,12.8,15.71,15.73,71.22,60.92,12.83,329.88
2002/6/6,124.25,181.27,116.72,81.17,79.49,12.8,15.71,15.82,71.57,61.18,12.61,330.28
2002/6/7,124.2,181.28,117.57,81.04,79.74,12.82,15.82,15.84,71.32,61.04,12.75,330.14
2002/6/10,124.55,181.81,117.56,81.16,79.98,12.77,15.81,15.84,71.04,60.69,12.7,331.07
2002/6/11,124.75,182.14,117.75,81.04,80.01,12.85,15.85,15.86,70.97,60.69,12.54,331.61
2002/6/12,125.45,184.65,118.85,81.64,80.63,12.99,15.99,16.02,71.44,61.36,12.56,333.47
2002/6/13,125.65,184.97,118.68,81.81,80.3,12.97,15.97,16,71.55,61.96,12.42,334
2002/6/14,124.95,183.79,117.7,81.17,79.82,12.87,15.83,15.89,70.67,61.04,12.15,332.14
2002/6/17,124.2,183.36,117.33,80.27,79.49,12.87,15.79,15.81,69.74,60.17,11.87,330.14
2002/6/18,124.35,183.96,117.42,80.39,79.53,13,15.81,15.84,69.37,60.07,11.8,330.54
2002/6/19,124.35,185.64,118.41,80.56,80.28,13.07,15.95,16.02,70.2,60.57,12.17,330.54
2002/6/20,124.25,185.16,118.8,80.65,80.73,13.1,16,16.16,70.29,60.62,12.18,330.28
2002/6/21,123.45,185.06,119.15,80.78,81.06,13.16,16.02,16.16,70.7,60.8,11.91,328.15
2002/6/24,121.65,182.24,118.3,80.04,80.63,13.08,15.93,16.02,69.9,60.58,11.85,323.37
2002/6/25,121.6,182.51,117.98,79.89,80.38,13.05,15.89,16.03,69.52,59.79,11.89,323.23
2002/6/26,121.2,183.34,119.39,80.13,81.37,13.13,16.08,16.21,69.65,60.14,11.7,322.17
2002/6/27,120.15,183.24,118.04,79.1,80.36,13,15.9,16,67.72,58.89,11.67,319.38
2002/6/28,119.45,182.67,117.98,79.03,80.17,12.99,15.91,15.99,67.53,58.54,11.55,317.52
2002/7/1,119.8,183.61,118.95,79,80.89,13.12,16.02,16.03,67.26,58.29,11.68,318.45
2002/7/2,119.8,183.55,118.57,78.99,80.65,13.06,15.97,16.06,67.24,58.35,12.02,318.45
2002/7/3,120.15,183.99,118.07,78.66,80.6,13.03,15.91,16.07,67.43,58.6,11.97,319.38
2002/7/4,119.95,183.09,117.47,78.3,80.28,12.91,15.83,16.04,66.93,58.38,11.84,318.85
2002/7/5,120.45,183.57,117.51,78.63,80.19,12.89,15.81,16.05,66.96,58.13,11.86,320.18
2002/7/8,119.4,182.49,116.95,78.32,79.63,12.82,15.76,16.02,66.68,58.08,11.87,317.38
2002/7/9,118.9,183.25,117.54,78.04,79.99,12.83,15.84,16.08,66.99,58.38,11.74,316.06
2002/7/10,118.2,182.84,117.21,77.94,79.54,12.7,15.78,16.04,67.13,58.23,11.88,314.19
2002/7/11,117.65,182.29,116.23,77.39,79.11,12.53,15.66,15.94,66.52,57.37,11.81,312.73
2002/7/12,117.25,181.89,115.75,76.89,78.94,12.51,15.58,15.9,65.52,56.64,11.65,311.67
2002/7/15,116.5,181.01,115.82,76.06,78.8,12.55,15.59,15.79,65.27,56.67,11.72,309.35
2002/7/16,116.35,182.87,117.16,75.59,79.87,12.67,15.77,15.89,65.2,56.49,11.65,309.03
2002/7/17,116,182.56,117.32,75.4,80,12.58,15.81,15.9,64.61,56.43,11.52,308.18
2002/7/18,116.55,182.95,117.24,75.69,80.04,12.62,15.79,15.9,64.24,56.13,11.55,309.64
2002/7/19,116.4,183.47,117.92,75.53,80.51,12.65,15.87,15.95,64.5,56.31,11.74,310.81
