取引種別,数量,初期ストップ,入値,出日付,%損益,R倍数,損益（円）,期間,入日付,出値
short,100,188.0,180,2000-03-16,-2.22222222222,-0.5,-400,3,2000-03-14,184
short,100,189.0,180,2000-03-24,-1.11111111111,-0.222222222222,-200,5,2000-03-17,182
long,100,168.0,175,2000-04-21,-4.0,-1.0,-700.0,1,2000-04-21,168.0
long,100,163.0,172,2000-04-26,-5.23255813953,-1.0,-900.0,2,2000-04-25,163.0
long,100,154.0,163,2000-05-10,6.13496932515,1.11111111111,1000,7,2000-04-27,173
long,100,176.0,183,2000-08-11,3.82513661202,1.0,700,10,2000-07-31,190
long,100,213.0,220,2001-05-30,1.36363636364,0.428571428571,300,7,2001-05-22,223
long,100,217.0,224,2001-07-24,-3.125,-1.0,-700.0,2,2001-07-23,217.0
short,100,237.0,228,2001-10-19,5.26315789474,1.33333333333,1200,3,2001-10-17,216
long,100,199.0,206,2001-11-13,-3.39805825243,-1.0,-700,2,2001-11-12,199
short,100,185.0,180,2002-03-07,-3.33333333333,-1.2,-600,2,2002-03-06,186
long,100,172.0,179,2002-07-02,3.91061452514,1.0,700,7,2002-06-24,186
long,100,211.0,218,2002-10-31,-3.21100917431,-1.0,-700.0,1,2002-10-31,211.0
short,100,285.0,277,2003-08-29,3.24909747292,1.125,900,4,2003-08-26,268
short,100,457.0,450,2005-10-11,5.33333333333,3.42857142857,2400,7,2005-09-30,426
long,100,462.0,474,2006-01-23,-2.53164556962,-1.0,-1200.0,2,2006-01-20,462.0
short,100,505.0,491,2006-03-09,-2.85132382892,-1.0,-1400.0,1,2006-03-09,505.0
short,100,515.0,500,2006-03-17,-3.0,-1.0,-1500.0,6,2006-03-10,515.0
long,100,639.0,658,2006-10-04,-2.88753799392,-1.0,-1900.0,5,2006-09-28,639.0
short,100,643.0,626,2006-11-27,-2.71565495208,-1.0,-1700.0,1,2006-11-27,643.0
short,100,659.0,641,2006-12-01,-2.80811232449,-1.0,-1800.0,3,2006-11-29,659.0
short,100,667.0,648,2006-12-05,-2.93209876543,-1.0,-1900.0,2,2006-12-04,667.0
long,100,752.0,774,2007-07-06,1.93798449612,0.681818181818,1500,7,2007-06-28,789
short,100,599.0,574,2007-09-14,-4.18118466899,-0.96,-2400.0,2,2007-09-13,598.0
short,100,625.0,601,2007-10-02,-3.66056572379,-0.916666666667,-2200,10,2007-09-18,623
short,100,648.0,627,2007-10-05,-3.34928229665,-1.0,-2100.0,2,2007-10-04,648.0
short,100,649.0,627,2007-10-12,0.478468899522,0.136363636364,300,2,2007-10-11,624
long,100,554.0,572,2007-10-25,-9.09090909091,-2.88888888889,-5200,2,2007-10-24,520
long,100,503.0,525,2007-11-02,7.2380952381,1.72727272727,3800,5,2007-10-29,563
long,100,552.0,576,2007-11-08,-4.16666666667,-1.0,-2400.0,2,2007-11-07,552.0
short,100,623.0,599,2007-12-06,-3.83973288815,-0.958333333333,-2300.0,5,2007-11-30,622.0
short,100,659.0,635,2007-12-19,8.97637795276,2.375,5700,9,2007-12-07,578
long,100,519.0,539,2008-01-17,-3.52504638219,-0.95,-1900.0,6,2008-01-09,520.0
short,100,433.0,417,2008-04-15,-3.83693045564,-1.0,-1600.0,4,2008-04-10,433.0
short,100,451.0,435,2008-04-17,-6.4367816092,-1.75,-2800,2,2008-04-16,463
long,100,437.0,456,2008-06-13,-3.94736842105,-0.947368421053,-1800.0,4,2008-06-10,438.0
long,100,426.0,442,2008-06-20,2.26244343891,0.625,1000,5,2008-06-16,452
short,100,403.0,389,2008-09-25,5.14138817481,1.42857142857,2000,3,2008-09-22,369
short,100,252.0,241,2008-12-18,-4.5643153527,-1.0,-1100.0,2,2008-12-17,252.0
short,100,252.0,241,2009-01-14,5.39419087137,1.18181818182,1300,4,2009-01-08,228
long,100,257.0,268,2009-06-03,1.11940298507,0.272727272727,300,3,2009-06-01,271
short,100,292.0,284,2010-09-27,1.76056338028,0.625,500,3,2010-09-22,279
short,100,245.0,240,2011-05-10,-2.08333333333,-1.0,-500.0,1,2011-05-10,245.0
short,100,256.0,251,2011-05-23,5.17928286853,2.6,1300,9,2011-05-11,238
short,100,219.0,214,2012-07-04,0.467289719626,0.2,100,2,2012-07-03,213
short,100,187.0,181,2012-11-07,11.6022099448,3.5,2100,12,2012-10-23,160
short,100,167.0,162,2012-12-14,-2.46913580247,-0.8,-400.0,2,2012-12-13,166.0
short,100,169.0,165,2012-12-19,-2.42424242424,-1.0,-400.0,3,2012-12-17,169.0
short,100,176.0,172,2012-12-27,-2.32558139535,-1.0,-400.0,5,2012-12-20,176.0
short,100,183.0,178,2013-01-04,-2.80898876404,-1.0,-500.0,2,2012-12-28,183.0
short,100,202.0,197,2013-05-02,3.04568527919,1.2,600,5,2013-04-25,191
long,100,182.0,193,2013-06-06,2.59067357513,0.454545454545,500,4,2013-06-03,198
long,100,176.0,190,2013-06-25,-1.05263157895,-0.142857142857,-200,13,2013-06-07,188
short,100,209.0,202,2013-07-12,-2.9702970297,-0.857142857143,-600.0,4,2013-07-09,208.0
short,100,218.0,212,2013-07-18,-2.83018867925,-1.0,-600.0,3,2013-07-16,218.0
short,100,224.0,218,2013-07-24,1.83486238532,0.666666666667,400,4,2013-07-19,214
short,100,236.0,228,2014-02-28,2.63157894737,0.75,600,3,2014-02-26,222
short,100,234.0,228,2014-04-23,-2.63157894737,-1.0,-600.0,2,2014-04-22,234.0
